ID,Text,Entities,Relations
20220,柬埔寨皇家科学院国际关系研究所所长金平表示，习近平主席在亚太经合组织领导人非正式会议上的讲话凸显中国在全球发展中发挥的重要作用。中国坚定不移致力于同各国深化各领域合作，实现亚太地区高质量发展、实现互利共赢。,机构(0-15): 柬埔寨皇家科学院国际关系研究所; 人物(17-19): 金平; 人物(22-27): 习近平主席; 国家(48-50): 中国; 国家(64-66): 中国; 国家(51-53): 全球; 国家(86-90): 亚太地区; 机构(28-34): 亚太经合组织,"国家间<中国,全球>; 国家间<中国,亚太地区>; 机构-人物<亚太经合组织,习近平主席>; 机构-人物<柬埔寨皇家科学院国际关系研究所,金平>; 国家-人物<习近平主席,中国>"
20226,近期，中国成功举办第三届“一带一路”国际合作高峰论坛，151个国家、41个国际组织的代表踊跃与会，形成了458项成果，中国金融机构成立7800亿元人民币的“一带一路”项目融资窗口，中外企业达成972亿美元的商业合作协议。多国人士对此高度评价，认为这是对习近平主席提出的“坚持开放导向”的最佳注解。,国家(3-5): 中国; 机构(9-26): 第三届“一带一路”国际合作高峰论坛; 人物(27-44): 151个国家、41个国际组织的代表; 机构(59-65): 中国金融机构; 人物(126-131): 习近平主席,"国家-机构<中国,第三届“一带一路”国际合作高峰论坛>; 机构-人物<151个国家、41个国际组织的代表,第三届“一带一路”国际合作高峰论坛>"
20232,“无论是‘一带一路’倡议、三大全球倡议，还是构建人类命运共同体理念，中国对外交往的初心与原则就是普惠共享，这是中华民族的大智慧。国际合作不是你赢我输的零和博弈，而应是双赢和多赢的共同发展。”《哈萨克斯坦实业报》总编辑科尔茹姆巴耶夫说。,国家(34-36): 中国; 机构(95-105): 《哈萨克斯坦实业报》; 人物(105-115): 总编辑科尔茹姆巴耶夫; 国家(64-66): 国际,"机构-人物<《哈萨克斯坦实业报》,总编辑科尔茹姆巴耶夫>; 国家间<中国,国际>"
20238,“我非常认同中国在促进亚太地区共同发展、构建人类命运共同体方面发挥的重要作用。”埃及金字塔政治和战略研究中心亚洲事务研究专家艾哈迈德·坎迪勒说，“中国提出的‘一带一路’倡议推动了亚太地区的域内合作，特别是基础设施和互联互通项目方面的合作。中国提出的三大全球倡议也将对全世界和亚太地区实现共同愿景发挥重要作用。”,机构(40-54): 埃及金字塔政治和战略研究中心; 人物(54-70): 亚洲事务研究专家艾哈迈德·坎迪勒; 国家(40-42): 埃及; 国家(6-8): 中国; 国家(11-15): 亚太地区; 国家(73-75): 中国; 国家(89-93): 亚太地区; 国家(119-121): 中国; 国家(133-141): 全世界和亚太地区,"国家间<中国,亚太地区>; 国家间<全世界和亚太地区,中国>"
20244,21世纪是亚太世纪。,国家(5-7): 亚太,
20250,坚持正确方向，才能合力续写“亚太奇迹”。各成员秉持亚太经合组织的宗旨原则，不断深化亚太伙伴关系，发扬大家庭精神，同舟共济、守望相助，朝着构建亚太命运共同体目标不断迈进，才是顺应历史潮流、地区共识、人民意愿的正确选择。,机构(25-31): 亚太经合组织; 国家(20-23): 各成员; 国家(41-43): 亚太,"国家-机构<各成员,亚太经合组织>"
20256,面向未来，亚太发展要续写奇迹，必须筑牢和平发展的根基。各方共同遵循联合国宪章的宗旨和原则，树立共同、综合、合作、可持续的安全观，共同反对冷战思维和阵营对抗，搭建亚太安全架构，才能为亚太经济发展和长治久安创造条件。各国应尊重彼此主权、领土完整，不干涉别国内政，尊重各国人民自主选择的发展道路和社会制度，重视各国合理安全关切，通过对话协商以和平方式解决国家间的分歧和争端。,国家(5-7): 亚太; 国家(27-29): 各方; 机构(33-36): 联合国; 国家(106-108): 各国; 国家(152-154): 各国,"国家间<各国,各国>"
20262,如何确保亚太始终保持开放合作，是地区各方共同面对的重要命题。一段时间以来，以地缘私利为出发点的所谓“经济安排”，以“去风险”为名搞“脱钩断链”的行为，正给亚太经济制造割裂，阻滞甚至拆解亚太地区长期形成的产业链供应链。亚太能否继续引领经济全球化潮流，在区域经济一体化方面走在时代前列，取决于地区各方维护开放合作的决心与行动。正如新加坡总理李显龙所指出的，“未来取决于我们所做的选择”，地区各方要维护和巩固开放包容的区域架构，深化区域经济一体化。,国家(16-20): 地区各方; 国家(4-6): 亚太; 国家(92-96): 亚太地区; 国家(108-110): 亚太; 国家(163-166): 新加坡; 人物(163-171): 新加坡总理李显龙; 国家(191-195): 地区各方; 国家(144-148): 地区各方,"国家间<地区各方,亚太>"
20268,2022年亚太经合组织高官会16日在泰国首都曼谷结束。今年会议东道主泰国方面表示，本次高官会致力于推出符合亚太地区共同利益和愿景的有效政策，以支持本地区经济和社会繁荣发展。,机构(5-11): 亚太经合组织; 国家(18-20): 泰国; 国家(34-36): 泰国; 国家(53-57): 亚太地区,"国家-机构<亚太经合组织,亚太地区>"
20274,要走和平发展之路。摆脱了冷战阴霾，亚太地区特别是中小经济体步入奔向现代化的快车道，“亚太奇迹”才应运而生。亚太地区不是谁的后花园，不应该成为大国角斗场。任何搞“新冷战”的图谋，人民不会答应，时代不会允许！,国家(17-21): 亚太地区; 国家(24-29): 中小经济体; 国家(53-57): 亚太地区,"国家间<亚太地区,亚太地区>"
20280,第三，打造更高水平的开放格局。推进亚太自由贸易区进程，全面深入参与世贸组织改革，推动《区域全面经济伙伴关系协定》、《全面与进步跨太平洋伙伴关系协定》、《数字经济伙伴关系协定》相互衔接，构建开放型亚太经济。,国家(17-19): 亚太; 机构(17-24): 亚太自由贸易区; 机构(33-37): 世贸组织,"国家-机构<世贸组织,亚太>"
20286,	　　2022年亚太经合组织领导人宣言（摘要）,机构(8-14): 亚太经合组织,
20292,中华人民共和国主席 习近平,人物(10-13): 习近平; 国家(0-7): 中华人民共和国,
20298,	——我们要走和平发展之路。亚太地区曾饱受冲突战乱之苦，成为大国争斗的竞技场、国际矛盾的聚集地。历史昭示我们，阵营对抗解决不了问题，偏见只会带来灾难。正是因为摆脱了冷战阴霾，亚太地区特别是中小经济体步入奔向现代化的快车道，“亚太奇迹”才应运而生。,国家(14-18): 亚太地区; 国家(87-99): 亚太地区特别是中小经济体,"国家间<亚太地区,亚太地区特别是中小经济体>"
20310,	第五，打造稳定畅通的产业链供应链。我们要遵循经济规律，坚持市场原则，促进生产要素自由流动，维护货物服务生产和供应体系，打造便利、高效、安全的亚太产业链供应链。要共同反对单边主义、保护主义，反对将经贸关系政治化、武器化。,国家(71-73): 亚太,
20316,	——中国古人说：“治国之道，富民为始。”中国已经打赢脱贫攻坚战、全面建成小康社会，现在要继续推进全体人民共同富裕。我们的共同富裕，是要更好满足人民美好生活需要，逐步实现整体富裕、普遍富裕，坚持市场和政府相结合、效率和公平相统一，在做大蛋糕的同时分好蛋糕，打造橄榄型分配结构。我提出全球发展倡议，就是着眼于解决发展不平衡问题。中国正同100多个国家和国际组织推进倡议落实，推动落实今年全球发展高层对话会成果。中国愿加大对全球发展合作的资源投入，同各方一道构建全球发展共同体。,国家(3-5): 中国; 国家(21-23): 中国; 国家(163-165): 中国; 国家(167-174): 100多个国家; 机构(175-179): 国际组织; 国家(204-206): 中国,"国家间<中国,100多个国家>; 国家-机构<中国,国际组织>"
20322,	长期以来，亚太工商界是推动地区经济增长的重要力量。有人说，企业家既是短期的悲观主义者，又是长期的乐观主义者。如果没有居安思危意识，企业不可能办好；如果没有对长期趋势的积极预期，企业也不会发展壮大。希望工商界朋友发挥企业家精神，积极促进经济合作，积极参与中国改革开放和现代化建设，为亚太和世界发展繁荣贡献正能量。,国家(6-8): 亚太; 国家(127-129): 中国; 国家(141-146): 亚太和世界; 人物(101-106): 工商界朋友; 人物(30-33): 企业家,"国家-人物<工商界朋友,亚太和世界>; 国家-人物<工商界朋友,中国>"
20328,	自美国提出所谓“印太战略”以来，亚太地区日益成为全球地缘政治和大国博弈的重点区域。,国家(2-4): 美国; 国家(17-21): 亚太地区,"国家间<美国,亚太地区>"
20334,	对此，中国外交部发言人汪文斌指出，以所谓的“中国威胁”为借口搞“印太战略”本身就是居心不良、来者不善。美方发布的所谓“印太战略”，说一套做一套，声称要推进地区自由开放，实际上却通过三边安全伙伴关系，四边机制构建封闭排他的小圈子；声称要强化地区安全，实际上却制造严重核扩散风险，破坏地区和平稳定；声称要促进地区繁荣，实际上却挑动地区国家间的对立对抗，冲击地区多年来形成的以东盟为中心的区域合作架构，对地区合作成果和未来发展前景构成严重威胁。,国家(4-6): 中国; 人物(4-15): 中国外交部发言人汪文斌; 机构(4-9): 中国外交部; 国家(52-54): 美方; 机构(186-188): 东盟; 国家(164-168): 地区国家,"国家间<美方,地区国家>; 国家-机构<美方,东盟>"
20340,	美国学者泽奈勒·加西亚在外交学者网站发表文章指出，把亚太地区重新界定为“印太地区”的做法因为在逻辑上自相矛盾的政策而受到削弱。“印太战略”没有考虑到地区经济一体化趋势，缺乏真正的贸易政策。,国家(1-3): 美国; 人物(1-12): 美国学者泽奈勒·加西亚; 国家(27-31): 亚太地区,
20346,"本次培训专门安排了亚太区域农药应用及展望、植保无人机在中国及其他国家的发展与应用、中国植保无人机施药技术规程最新进展、中国无人机撒施Bt微型颗粒剂防治草地贪夜蛾的实践与思考、植保无人机施药对农药制剂的有关要求、大疆农业的发展与农业无人机的最佳实践、植保无人机在热带果树病虫害防控上的应用、植保无人机大田施药技术及风险控制、植保无人机果园施药技术、中国无人机专业植保服务机构的发展、中国植保无人机的结构特点和风场特性及作业质量检测、中国水稻病虫防控精准施药技术等培训报告，参观了农业农村部南京农业机械化研究所植保机械实验室、江苏省农业科学院食品安全与检测研究所的省部级农药残留检测实验室等。参加培训的10个成员国代表还分别做了国家报告，就其本国的农药管理、农药施用、植保无人机使用及未来展望等做了情况介绍和经验分享。本次培训内容非常丰富，包括植保无人机的管理法规、技术规程、农药制剂、农药助剂、性能测定、风险管控、施药技术培训和专业化统防统治服务等，还有植保无人机配套技术在小麦、水稻、果树、热带作物等的应用，不仅有中国情况，还有其他国家的情况；不仅有中国主要发生的病虫害，还有亚太区域国家重点关注的草地贪夜蛾、稻飞虱、稻纵卷叶螟、纹枯病、稻瘟病等靶标，技术性和实操性强，受训代表纷纷表示非常契合亚太区域的实际需求,也得到了APPPC执行秘书Yubak的充分肯定。",国家(9-13): 亚太区域; 国家(27-34): 中国及其他国家; 国家(41-43): 中国; 国家(59-61): 中国; 国家(173-175): 中国; 机构(173-186): 中国无人机专业植保服务机构; 国家(190-192): 中国; 国家(215-217): 中国; 机构(238-260): 农业农村部南京农业机械化研究所植保机械实验室; 机构(261-292): 江苏省农业科学院食品安全与检测研究所的省部级农药残留检测实验室; 国家(299-305): 10个成员国; 国家(457-459): 中国; 国家(464-468): 其他国家; 国家(475-477): 中国; 国家(488-494): 亚太区域国家; 人物(535-539): 受训代表; 人物(561-575): APPPC执行秘书Yubak,"国家-人物<受训代表,中国>; 国家-人物<中国,APPPC执行秘书Yubak>"
20358,人民网扬州11月23日电 （张玉峰）11月22至23日，亚太经合组织数字能力建设研讨会在江苏省扬州市举办。国家网信办副主任曹淑敏在开幕式上致辞，江苏省委常委、省委宣传部部长张爱军，印度尼西亚经济统筹部副部长穆罕默德·鲁迪·萨拉赫丁，泰国数字经济和社会部副部长纽因·乔奇亚西普，中国香港特区政府创新科技及工业局局长孙东等出席开幕式并致辞。,机构(0-3): 人民网; 人物(14-17): 张玉峰; 人物(53-64): 国家网信办副主任曹淑敏; 机构(53-58): 国家网信办; 机构(72-86): 江苏省委常委、省委宣传部部长; 人物(86-89): 张爱军; 机构(90-100): 印度尼西亚经济统筹部; 国家(90-95): 印度尼西亚; 人物(90-115): 印度尼西亚经济统筹部副部长穆罕默德·鲁迪·萨拉赫丁; 国家(116-118): 泰国; 机构(116-126): 泰国数字经济和社会部; 人物(116-137): 泰国数字经济和社会部副部长纽因·乔奇亚西普; 机构(138-154): 中国香港特区政府创新科技及工业局; 国家(138-140): 中国; 人物(138-158): 中国香港特区政府创新科技及工业局局长孙东,
20364,本次研讨会以线上线下相结合的方式举行，共举办3场专题讨论。来自文莱、智利、中国香港、马来西亚、墨西哥、秘鲁、菲律宾、新加坡、中国台北等亚太经合组织经济体代表，联合国教科文组织、全球移动通信系统协会、美中贸易全国委员会等相关国际组织和机构，以及中国相关政府部门、智库、企业代表共约180人线上线下参会。,国家(31-33): 文莱; 国家(34-36): 智利; 国家(42-46): 马来西亚; 国家(37-39): 中国; 国家(47-50): 墨西哥; 国家(51-53): 秘鲁; 国家(54-57): 菲律宾; 国家(58-61): 新加坡; 国家(62-64): 中国; 机构(67-73): 亚太经合组织; 机构(79-87): 联合国教科文组织; 机构(88-98): 全球移动通信系统协会; 机构(99-108): 美中贸易全国委员会; 国家(121-123): 中国; 人物(121-137): 中国相关政府部门、智库、企业代表,
20370,编辑：刘浩 常天童 刁泽 胡若愚 王丰丰,,
20376,“鉴往事，知来者。”回顾过往，正因顺应和平和发展的时代潮流，在合作中坚持开放包容的主旋律、共同发展的总目标、求同存异的好做法，亚太成为世界经济增长中心、全球发展稳定之锚和合作高地，创造了举世瞩目的“亚太奇迹”。“万物得其本者生，百事得其道者成。”亚太合作的非凡历程带来深刻启示，应秉持合作初心，牢记历史使命，推动亚太合作再出发。,国家(63-65): 亚太; 国家(123-125): 亚太,"国家间<亚太,亚太>"
20382,	当前，亚太经济体正面临新冠疫情、高通胀、全球金融环境收紧、地缘政治紧张以及气候变化等诸多共同挑战，各方期待通过亚太经合组织平台凝聚共识，深化合作，促进经济复苏，推动区域经济一体化，为亚太乃至全球经济发展注入新动力。,国家(4-6): 亚太; 机构(56-62): 亚太经合组织; 国家(50-52): 各方,"国家-机构<各方,亚太经合组织>; 国家间<各方,亚太>"
20400,	亚太经合组织工商咨询委员会前执行董事、新西兰国际贸易论坛执行董事斯蒂芬·雅各比说，中国通过推动《区域全面经济伙伴关系协定》和中新自贸协定升级议定书实施，以及积极申请加入《全面与进步跨太平洋伙伴关系协定》和《数字经济伙伴关系协定》，增强了亚太区域的一体化和包容性。“我们期待合作能够继续，中国继续扩大开放，共同解决疫情给经济带来的问题，惠及全球。”,机构(1-7): 亚太经合组织; 人物(1-40): 亚太经合组织工商咨询委员会前执行董事、新西兰国际贸易论坛执行董事斯蒂芬·雅各比; 机构(20-29): 新西兰国际贸易论坛; 国家(42-44): 中国; 人物(33-40): 斯蒂芬·雅各比; 国家(119-123): 亚太区域; 国家(144-146): 中国; 国家(170-172): 全球,"国家-人物<斯蒂芬·雅各比,中国>; 国家间<中国,全球>"
20406,把稳中美关系航向 造福两国惠及世界,国家(2-3): 中; 国家(3-4): 美,"国家间<中,美>"
20412,在美国前国务卿基辛格看来，美中之间的和平与合作至关重要，符合两国和世界的利益。他呼吁美中两国共同推动双边关系重回正轨，“正如我50年前所相信的那样，我们能找到克服困难的出路”。,国家(1-3): 美国; 人物(1-10): 美国前国务卿基辛格; 国家(13-14): 美; 国家(14-15): 中,"国家间<中,美>"
20418,事实证明，中美互利合作的动力依然强劲，民间交往基础依然深厚，空间依然广阔。保持沟通渠道畅通，多来往、多对话、多交流，增进彼此相互了解，是推动中美关系稳下来、好起来的有效途径。,国家(5-6): 中; 国家(6-7): 美; 国家(70-71): 中; 国家(71-72): 美,"国家间<中,美>; 国家间<中,美>"
20424,“新形势下，我们要携手构建亚太命运共同体，再创亚太合作新辉煌。”去年在曼谷举行的亚太经合组织第二十九次领导人非正式会议上，习近平主席开宗明义。,机构(40-46): 亚太经合组织; 人物(61-66): 习近平主席; 国家(13-15): 亚太,"国家-人物<亚太,习近平主席>"
20430,扎根亚太、建设亚太、造福亚太。中国积极倡导亚太合作，更以自身发展回馈亚太，以“一带一路”建设凝聚地区发展合力，带动亚太国家做好共同发展的“加法”。,国家(2-4): 亚太; 国家(15-17): 中国; 国家(57-61): 亚太国家,"国家间<中国,亚太国家>"
20436,从高质量实施《区域全面经济伙伴关系协定》、开展中国-东盟自贸区3.0版谈判，到积极推进加入《全面与进步跨太平洋伙伴关系协定》《数字经济伙伴关系协定》，中国践行开放的区域主义，推动形成更高水平开放型经济新体制。,国家(23-25): 中国; 机构(26-28): 东盟,"国家-机构<中国,东盟>"
20448,世界在期待，中美关系尽快回到健康稳定发展轨道，两国共同维护世界和平稳定，应对全球性挑战，促进全球发展繁荣。,国家(6-7): 中; 国家(7-8): 美,"国家间<中,美>"
20454,万山磅礴看主峰，乱云飞渡仍从容。习近平主席的这次访问，必将继续推动中国与亚太携手开放发展，打造世界的和平稳定锚、增长动力源、合作新高地，同各方一道为世界和平与发展注入更多确定性，向人类更加美好的未来不断前进。,人物(16-21): 习近平主席; 国家(33-35): 中国; 国家(36-38): 亚太,"国家间<中国,亚太>"
20466,	站在十字路口，世界向何处去？亚太怎么办？鉴往事，知来者。习近平主席总结历史经验教训，重温亚太合作初心，鲜明提出：走和平发展之路，走开放包容之路，走和衷共济之路。,人物(29-34): 习近平主席; 国家(45-47): 亚太,
20472,	这是2022年10月27日在印度尼西亚万隆拍摄的建设中的雅万高铁德卡鲁尔车站（无人机照片）。新华社记者 徐钦 摄,国家(15-20): 印度尼西亚,
20478,	2022年11月7日，工作人员在柬埔寨首都金边的金港高速监控服务中心工作。新华社记者 吴长伟 摄,国家(17-20): 柬埔寨; 机构(25-35): 金港高速监控服务中心,
20484,	菲律宾金砖国家政策研究会创始人赫尔曼·劳雷尔感叹，习近平主席的演讲正是对过去十年里中国对亚洲一贯政策的生动体现。韩国成均馆大学中国大学院金融学教授安玉花表示，中国坚持倡导高水平的对外开放、呼吁推动经济一体化，对于推进构建稳定多元的国际经济格局具有深远意义。,国家(1-4): 菲律宾; 机构(1-13): 菲律宾金砖国家政策研究会; 人物(16-23): 赫尔曼·劳雷尔; 人物(26-31): 习近平主席; 国家(42-44): 中国; 国家(45-47): 亚洲; 国家(57-59): 韩国; 机构(57-69): 韩国成均馆大学中国大学院; 人物(74-77): 安玉花; 国家(80-82): 中国,"机构间<中国,亚洲>; 国家-人物<赫尔曼·劳雷尔,中国>; 国家-人物<安玉花,中国>"
20490,	“中国愿加大对全球发展合作的资源投入，同各方一道构建全球发展共同体。”中国式现代化是全体人民共同富裕的现代化。哥伦比亚国际法专家莉娜·露娜领悟到中国倡导普惠发展的底层逻辑：世界繁荣稳定不可能建立在贫者愈贫、富者愈富的基础之上，各国共同发展才是真发展，“中国有能力引领世界走向共同富裕和可持续发展”。,国家(2-4): 中国; 国家(21-23): 各方; 国家(56-60): 哥伦比亚; 人物(56-70): 哥伦比亚国际法专家莉娜·露娜; 国家(73-75): 中国; 国家(127-129): 中国; 国家(114-116): 各国,"国家间<中国,各方>; 国家-人物<中国,哥伦比亚国际法专家莉娜·露娜>; 国家间<各国,中国>"
20496,	立天下之正位，行天下之大道。新时代新征程，中国将继续与亚太携手、与世界同行，为动荡的世界提供更多稳定性和确定性，为推动构建人类命运共同体、建设一个更加美好的世界贡献中国智慧和中国力量！（记者李学梅、叶书宏、余湉湉、李蓉）,国家(22-24): 中国; 国家(28-30): 亚太; 国家(34-36): 世界; 国家(83-85): 中国; 国家(88-90): 中国,"国家间<中国,亚太>; 国家间<中国,世界>"
20508,	第一，维护国际公平正义，建设和平稳定的亚太。亚太过去几十年经济快速增长，得益于和平稳定的环境。一个重要启示就是相互尊重、团结合作，遇到事情大家商量着办，寻求最大公约数。我们应该坚持共同、综合、合作、可持续的安全观，尊重各国主权、领土完整，不干涉别国内政，尊重各国人民自主选择的发展道路和社会制度，重视各国合理安全关切，通过对话协商以和平方式解决国家间的分歧和争端。我们要积极参与全球治理，推动国际秩序朝着更加公正合理的方向发展，为亚太和世界和平稳定提供保障。,国家(20-22): 亚太; 国家(23-25): 亚太,"国家间<亚太,亚太>"
20514,	泰国有句谚语：“撒什么种子结什么果。”我们已经共同播下布特拉加亚愿景的种子，应该精心栽培、共同呵护，培育亚太共同发展的繁荣之花！,国家(1-3): 泰国; 国家(53-55): 亚太,
20526,最初的两次“机动卫士”演习，均在美国华盛顿州周边地区举行，第三次扩大到威斯康星州和密歇根州等地。今年3月初，美空军空中机动司令部指挥官表示，将把演习地点转移至本土以外的重要地区。此次演习中，美军以关岛基地作为前沿枢纽，演习区域涵盖美国夏威夷、日本、澳大利亚等地的机场，具有较强的针对性。,国家(16-18): 美国; 机构(54-64): 美空军空中机动司令部; 人物(54-67): 美空军空中机动司令部指挥官; 国家(115-117): 美国; 国家(121-123): 日本; 国家(124-128): 澳大利亚,"国家间<美国,日本>; 国家间<美国,澳大利亚>; 国家-人物<美空军空中机动司令部指挥官,美国>; 国家-机构<美空军空中机动司令部,美国>"
20532,美军还以演习和训练为由，不断加大在亚太地区的军备部署。其中，美海军在亚太地区持续部署“里根”号和“尼米兹”号两个航母战斗群；美海军陆战队计划在日本冲绳组建濒海作战团；美空军多次向亚太地区临时派遣B-52轰炸机，并增派F-22和F-35战斗机。分析人士指出，美军在亚太地区密集部署具有进攻性的武器装备，容易造成局势误判，不利于地区安全与稳定。（王昌凡）,国家(0-1): 美; 国家(17-19): 亚太; 国家(71-73): 日本; 国家(62-63): 美; 机构(30-33): 美海军; 国家(30-31): 美; 国家(34-36): 亚太; 国家(83-84): 美; 国家(89-91): 亚太; 国家(128-129): 美; 国家(131-133): 亚太,"国家间<美,亚太>; 国家间<美,日本>; 国家间<美,亚太>; 国家间<美,亚太>; 国家间<美,亚太>"
20538,“鉴往事，知来者。”回顾过往，正因顺应和平和发展的时代潮流，在合作中坚持开放包容的主旋律、共同发展的总目标、求同存异的好做法，亚太成为世界经济增长中心、全球发展稳定之锚和合作高地，创造了举世瞩目的“亚太奇迹”。“万物得其本者生，百事得其道者成。”亚太合作的非凡历程带来深刻启示，应秉持合作初心，牢记历史使命，推动亚太合作再出发。,国家(63-65): 亚太; 国家(99-101): 亚太,"国家间<亚太,亚太>"
20544,要把一个什么样的亚太带到本世纪中叶？如何打造亚太发展的下一个“黄金三十年”？在这一进程中如何更好发挥亚太经合组织作用？,国家(8-10): 亚太; 机构(50-56): 亚太经合组织,"国家-机构<亚太经合组织,亚太>"
20550,亚太的和平、稳定、繁荣属于全体亚太人民，亚太的未来要靠亚太人民携手创造。中国高举构建亚太命运共同体旗帜，坚定引领亚太合作方向,国家(0-2): 亚太; 国家(36-38): 中国,"国家间<中国,亚太>"
20562,11月12日，在美国旧金山，记者经过2023年亚太经合组织会议国际媒体中心内的一幅海报。新华社记者李睿 摄,国家(8-10): 美国; 机构(23-29): 亚太经合组织,
20568,王毅说，当前，世界正经历百年未有之大变局，人类处于历史的转折点。中美关系何去何从，两国人民十分关心，国际社会高度关注。今年也是APEC领导人第三十次聚首，亚太合作下一个30年走向何方，各方都在深入思考。值此重要关口，习近平主席飞越太平洋，开启旧金山之旅。同拜登总统举行会晤，探讨中美正确相处之道；同美国各界互动交流，汇聚两国友好合作共识；出席APEC领导人非正式会议，指明亚太区域合作方向。国际舆论普遍认为，这次访问举世瞩目、成果丰硕、意涵深远，为中美关系增添稳定性，为亚太合作带来新动力，为国际和地区格局注入正能量，彰显了习近平主席高瞻远瞩、胸怀天下的大国领袖风范。,人物(0-2): 王毅; 国家(32-33): 中; 国家(33-34): 美; 人物(108-113): 习近平主席; 机构(63-67): APEC; 人物(128-130): 拜登; 国家(139-140): 中; 国家(140-141): 美; 国家(149-151): 美国; 机构(171-175): APEC; 国家(224-225): 中; 国家(225-226): 美; 人物(262-267): 习近平主席,"国家间<中,美>; 机构-人物<习近平主席,APEC>; 国家间<中,美>; 国家-人物<美国,习近平主席>; 机构-人物<习近平主席,APEC>; 国家间<中,美>"
20574,拜登总统重申了在巴厘岛会晤时向习近平主席作出的五点承诺，即：美国不寻求新冷战，不寻求改变中国体制，不寻求通过强化同盟关系反对中国，不支持“台湾独立”，无意同中国发生冲突。拜登总统表示，美中冲突并非不可避免，一个稳定和发展的中国符合美国和世界的利益，美国乐见中国发展富裕，不寻求打压遏制中国发展，不寻求同中国脱钩。,人物(0-2): 拜登; 人物(15-20): 习近平主席; 国家(30-32): 美国; 国家(44-46): 中国; 国家(62-64): 中国; 国家(78-80): 中国; 人物(85-89): 拜登总统; 国家(92-93): 美; 国家(93-94): 中; 国家(111-113): 中国; 国家(115-117): 美国; 国家(124-126): 美国; 国家(128-130): 中国; 国家(142-144): 中国; 国家(151-153): 中国,"国家间<美国,中国>; 国家-人物<拜登,中国>; 国家间<美,中>; 国家间<中国,美国>; 国家间<美国,中国>"
20580,此访期间，习近平主席应邀出席美国友好团体联合举办的欢迎宴会。美社会各界及重要企业掌门人悉数到场。习近平主席首次访美时的老房东、延续了40年友谊的艾奥瓦州友人、103岁飞虎队老队员、史迪威将军后人、鼓岭、华盛顿州等方面友好人士代表也从美国各地赶赴旧金山之约。习近平主席同他们亲切会面，共忆往事，感谢他们秉持中美人民友好的初心，场景十分温馨感人。,人物(5-10): 习近平主席; 机构(14-20): 美国友好团体; 国家(14-16): 美国; 国家(30-31): 美; 人物(30-43): 美社会各界及重要企业掌门人; 人物(48-53): 习近平主席; 国家(56-57): 美; 人物(128-133): 习近平主席; 国家(152-153): 中; 国家(153-154): 美; 国家(116-118): 美国; 人物(59-62): 老房东,"国家-人物<习近平主席,美国>; 国家间<中,美>"
20586,习近平主席提出的一系列重大倡议主张顺应大势、合乎民心，对亚太合作和全球发展具有重要指导意义和实践价值，得到与会各方高度认同和积极响应。会议通过的领导人宣言充分反映了落实布特拉加亚愿景、构建亚太共同体、建设亚太自贸区、包容可持续发展、互联互通等中方理念主张。国际舆论认为，在APEC首次领导人会议召开30周年的关键节点，哪些国家坚守亚太合作初心，坚持开放包容、互利共赢，哪些国家违背初心，搞地缘对抗、“脱钩断链”，世人看得清清楚楚。无论国际形势如何变幻，中国将顺应历史大势，一如既往推动开放型经济和亚太经济一体化，致力于实现共同发展、繁荣进步的亚太梦想。,人物(0-5): 习近平主席; 国家(28-30): 亚太; 机构(136-140): APEC; 国家(226-228): 中国; 国家(271-273): 亚太,"国家间<亚太,中国>; 国家-人物<习近平主席,亚太>"
20592,王毅最后说，此访是习近平外交思想的又一次成功实践，是习近平主席运筹大国关系的“大手笔”。从年初在莫斯科举行中俄元首会晤，到年底在旧金山举行中美元首会晤，中国坚持不懈推进大国协调合作，推动构建总体稳定、均衡发展的大国关系框架，充分彰显了中国负责任的大国担当。此访也是习近平主席今年出席多边峰会的“收官作”。从首届中国－中亚峰会到第三届“一带一路”国际合作高峰论坛，从金砖国家领导人约翰内斯堡会晤到旧金山APEC领导人非正式会议，中国主张和中国理念广得人心，中国建设性的大国作用更为凸显。这次访问再次证明，不论国际风云如何变幻，习近平主席总是以高远的眼光、强大的定力、卓越的智慧，指引中国外交攻坚克难、勇毅前行，为实现中华民族伟大复兴营造主动有利的外部环境，为推动世界和平与发展的进步事业作出更多更大贡献。东风吹雨过青山。我们要深刻学习领悟习近平外交思想，在以习近平同志为核心的党中央坚强领导下，以元首外交为引领，不断开创中国特色大国外交新局面。,人物(0-2): 王毅; 人物(26-31): 习近平主席; 国家(53-54): 中; 国家(54-55): 俄; 国家(69-70): 中; 国家(70-71): 美; 国家(76-78): 中国; 国家(117-119): 中国; 人物(132-137): 习近平主席; 机构(200-204): APEC; 机构(182-186): 金砖国家; 机构(153-162): 首届中国－中亚峰会; 机构(163-180): 第三届“一带一路”国际合作高峰论坛; 国家(213-215): 中国; 国家(227-229): 中国; 人物(262-267): 习近平主席; 国家(290-292): 中国; 人物(378-383): 习近平同志; 国家(409-411): 中国,"国家间<中,俄>; 国家间<中,美>; 国家-机构<中国,首届中国－中亚峰会>; 国家-机构<中国,第三届“一带一路”国际合作高峰论坛>; 国家-机构<中国,金砖国家>; 国家-机构<中国,APEC>"
